sent_id_1,sent_id_2,similarity
7,7,0.9999999999999998
7,11,0.07321983321749848
7,8,0.13983200858436606
7,5,0.06351561218898834
7,6,0.024333848072362683
7,9,0.014028699008571132
7,10,0
11,7,0.07321983321749848
11,11,0.9999999999999999
11,8,0
11,5,0.008727141829920376
11,6,0.009328174493677038
11,9,0.055142642457562396
11,10,0.04413101011833058
8,7,0.13983200858436606
8,11,0
8,8,1
8,5,0.019493528455064916
8,6,0.020836035264475947
8,9,0
8,10,0
5,7,0.06351561218898834
5,11,0.008727141829920376
5,8,0.019493528455064916
5,5,1
5,6,0.020487927624460504
5,9,0.007809892586423365
5,10,0
6,7,0.024333848072362683
6,11,0.009328174493677038
6,8,0.020836035264475947
6,5,0.020487927624460504
6,6,1
6,9,0.008347754882734214
6,10,0.12261621944814761
9,7,0.014028699008571132
9,11,0.055142642457562396
9,8,0
9,5,0.007809892586423365
9,6,0.008347754882734214
9,9,1.0000000000000002
9,10,0.03949270625726373
10,7,0
10,11,0.04413101011833058
10,8,0
10,5,0
10,6,0.12261621944814761
10,9,0.03949270625726373
10,10,1.0000000000000002
